1.129999, 0, 0, 6.902377, 1.662766, 0, 283.773, -1750.555, -7.299119, 0.01343784, 0.1308036, 23.9778, 2.530424, 1.939194, 25.03549
 
1.139999, -0.2359237, 0, 7.011293, 1.662884, 2.5148584389671305261223, 295.6096, -1750.784, -7.299119, 0.01343784, 0.1308036, 24.47305, 2.530424, 1.939033, 25.04176
 
1.149999, -0.2398442, -0.002359237, 7.120061, 1.662708, 2.4629908234747773171796, 307.7018, -1751.014, -7.299119, 0.01343784, 0.1308036, 24.96888, 2.530424, 1.938872, 25.04803
 
1.159999, -0.2437123, -0.004757678, 7.228969, 1.662532, 2.4129077363513151668751, 320.0495, -1751.244, -7.299119, 0.01343784, 0.1308036, 25.46525, 2.530424, 1.93871, 25.0543
 
1.169999, -0.2475242, -0.007194801, 7.338303, 1.66265, 2.3644959722215549077058, 332.6529, -1751.473, -7.299119, 0.01343784, 0.1308036, 25.96214, 2.530424, 1.938549, 25.06057
 
1.179999, -0.2512764, -0.009670043, 7.447469, 1.662473, 2.3176495296887285010098, 345.512, -1751.703, -7.299119, 0.01343784, 0.1308036, 26.45952, 2.530424, 1.938388, 25.06684
 
1.189999, -0.254965, -0.01218281, 7.556759, 1.662296, 2.272268582194714589989, 358.6267, -1751.933, -7.299119, 0.01343784, 0.1308036, 26.95736, 2.530424, 1.938226, 25.0731
 
1.199999, -0.2585861, -0.01473246, 7.666164, 1.662119, 2.2282615362995873936637, 371.9972, -1752.162, -7.299119, 0.01343784, 0.1308036, 27.45565, 2.530424, 1.938065, 25.07937
 
1.209999, -0.2621357, -0.01731832, 7.775974, 1.662236, 2.1855440025418422598953, 385.6234, -1752.392, -7.299119, 0.01343784, 0.1308036, 27.95435, 2.530424, 1.937904, 25.08564
 
1.219999, -0.2656098, -0.01993968, 7.885597, 1.662058, 2.1440346788792978774771, 399.5054, -1752.622, -7.299119, 0.01343784, 0.1308036, 28.45346, 2.530424, 1.937743, 25.09191
 
1.229999, -0.2690047, -0.02259577, 7.995325, 1.661881, 2.1036604963879788024185444698, 413.6431, -1752.852, -7.299119, 0.01343784, 0.1308036, 28.95295, 2.530424, 1.937581, 25.09818
 
1.239999, -0.2723158, -0.02528582, 8.105151, 1.661703, 2.06435147356319176607, 428.0368, -1753.082, -7.299119, 0.01343784, 0.1308036, 29.4528, 2.530424, 1.93742, 25.10445
 
1.249999, -0.2755386, -0.02800898, 8.215367, 1.661819, 2.0260438037389416386343555302, 442.6863, -1753.312, -7.299119, 0.01343784, 0.1308036, 29.95301, 2.530424, 1.937259, 25.11071
 
1.259999, -0.2786695, -0.03076437, 8.325381, 1.661641, 1.9886747093890077372918, 457.5916, -1753.543, -7.299119, 0.01343784, 0.1308036, 30.45355, 2.530424, 1.937098, 25.11698
 
1.269999, -0.2817037, -0.03355106, 8.435485, 1.661462, 1.9521886169655493424726444698, 472.753, -1753.773, -7.299119, 0.01343784, 0.1308036, 30.95441, 2.530424, 1.936936, 25.12325
 
1.279999, -0.2846367, -0.0363681, 8.545673, 1.661283, 1.9165330403400490755391, 488.1703, -1754.003, -7.299119, 0.01343784, 0.1308036, 31.45559, 2.530424, 1.936775, 25.12952
 
1.289999, -0.2874636, -0.03921447, 8.656242, 1.661399, 1.8816565225238051704216555302, 503.8435, -1754.234, -7.299119, 0.01343784, 0.1308036, 31.95705, 2.530424, 1.936614, 25.13579
 
1.299999, -0.2901805, -0.0420891, 8.766592, 1.661219, 1.8475127522269880959373, 519.7723, -1754.464, -7.299119, 0.01343784, 0.1308036, 32.45879, 2.530424, 1.936452, 25.14206
 
1.309999, -0.2927823, -0.0449909, 8.877319, 1.661335, 1.8140595347188249432212444698, 535.9578, -1754.695, -7.299119, 0.01343784, 0.1308036, 32.96083, 2.530424, 1.936291, 25.14832
 
1.319999, -0.295265, -0.04791873, 8.98753, 1.66086, 1.7812505587094450154995, 552.399, -1754.925, -7.299119, 0.01343784, 0.1308036, 33.46312, 2.530424, 1.93613, 25.15459
 
1.329999, -0.297622, -0.05087138, 9.098405, 1.660975, 1.7490508334465479897371, 569.0959, -1755.156, -7.299119, 0.01343784, 0.1308036, 33.96565, 2.530424, 1.935969, 25.16086
 
1.339999, -0.29985, -0.0538476, 9.209051, 1.660795, 1.7174233098982434833535, 586.0487, -1755.386, -7.299119, 0.01343784, 0.1308036, 34.46842, 2.530424, 1.935807, 25.16713
 
1.349999, -0.3019443, -0.0568461, 9.319774, 1.660615, 1.6863329973122002991205, 603.2584, -1755.617, -7.299119, 0.01343784, 0.1308036, 34.97145, 2.530424, 1.935646, 25.1734
 
1.359999, -0.3038982, -0.05986554, 9.43086, 1.66073, 1.6557449049360872398099, 620.7241, -1755.848, -7.299119, 0.01343784, 0.1308036, 35.47471, 2.530424, 1.935485, 25.17967
 
1.369999, -0.3057091, -0.06290452, 9.541418, 1.660253, 1.6256312459959942370346, 638.4458, -1756.079, -7.299119, 0.01343784, 0.1308036, 35.97819, 2.530424, 1.935323, 25.18594
 
1.379999, -0.3073691, -0.06596161, 9.65263, 1.660367, 1.5959621754384623284529, 656.4236, -1756.31, -7.299119, 0.01343784, 0.1308036, 36.48188, 2.530424, 1.935162, 25.19221
 
